Env,Pop,Family,Position,Treatment,Lat,Long,Pair,GH,GH_Block,Roof_Block,Germ,Germ_JD,Hypocotyl(mm),Cotyledon(mm),LeafNum,Date_of_1Meas,Harvest Julian Day,Flowering Time,StemWidth,PlantHeight,NodeNum,Late,Broken,Sex,Dry Biomass,Flower Color,485,530,590,IsBlank,Soy Germ,Stem Colour
Agricultural,Mulberry,112,1,Water,38.755485,-89.272475,5,2,A,1,7,188,36.56,7.3,28,203,291,260,9.28,44,26,1,0,M,6.217,2,722,816,1252,0,na,2
Agricultural,Mulberry,192,2,Water,38.755485,-89.272475,5,2,G,1,6,187,33.59,10.75,48,203,291,260,8.42,41,22,1,0,NA,5.327,1,1686,1427,2399,0,na,2
Agricultural,WSCSoy2,50,3,Soy,38.6589929,-90.7440433,8,1,D,1,9,190,26.77,10.33,14,203,291,233,5.57,49.7,20,1,0,F,7.028,1,1554,1453,2372,0,0,0
Natural,Maume,135,4,Control,41.55656599,-83.66247503,1,2,C,1,10,191,24.34,,,203,291,NA,NA,NA,NA,0,0,NA,,,25,67,56,1,na,
Natural,Greentree ,47,5,Soy,38.558781,-90.447501,7,1,D,1,,FALSE,,8.75,5,203,291,233,10.99,42.4,18,1,0,M,4.771,1,26,69,59,1,1,0
Agricultural,Allentown,24,6,Soy,40.55406597,-89.48221204,12,1,B,1,9,190,26.89,8.89,17,203,291,242,9.37,73,31,0,0,F,14.202,2,2190,1854,2792,0,1,1
Agricultural,Nunemaker,184,7,Water,38.988681,-95.215847,16,2,G,1,6,187,31.18,9.31,46,203,291,224,NA,43.3,18,0,0,M,5.941,1,1498,1322,2157,0,na,0
Agricultural,Greenup,76,8,Soy,39.305104,-88.139778,4,1,F,1,5,186,34.38,7.55,44,203,291,242,8.3,50,34,0,0,M,,1,1635,1418,2375,0,1,0
Natural,Maume,135,9,Water,41.55656599,-83.66247503,1,2,C,1,6,187,14.43,12.09,46,203,291,219,7.69,28.2,15,0,0,M,3.45,1,1527,1362,2264,0,na,1
Agricultural,Granite,144,10,Water,38.670222,-90.065665,6,2,D,1,6,187,17.51,8.78,26,203,291,242,10.16,46.1,37,0,0,F,8.824,0,2406,2067,3434,0,na,1
Agricultural,AgLaughrey,6,11,Water,39.01893298,-84.92674196,3,1,A,1,10,191,20.98,10.02,18,203,291,242,8.87,44,33,0,0,M,13.233,3,1675,1069,1842,0,na,1
Agricultural,Bradley,96,12,Control,41.16467102,-87.81988903,14,1,G,1,8,189,18.05,8.86,27,203,291,238,8.05,79.2,28,1,0,F,9.26,1,1712,1472,2595,0,na,0
Natural,Pontiac,125,13,Control,40.87326997,-88.62446599,13,2,B,1,8,189,23.74,10.54,28,203,291,228,7.07,39,21,0,0,F,6.756,0,1343,1485,2279,0,na,0
Agricultural,Nunemaker,32,14,Control,38.988681,-95.215847,16,1,C,1,6,187,30.26,8.1,24,203,291,238,8.57,52.1,28,0,0,F,10.394,0,45,106,98,1,na,0
Agricultural,Granite,46,15,Water,38.670222,-90.065665,6,1,D,1,7,188,18.28,5.9,12,203,291,254,10.58,89,35,1,0,F,11.081,1,2152,1314,2180,0,na,1
Natural,Aurora,107,16,Water,39.05562996,-84.89810603,3,2,A,1,6,187,33.87,10.59,32,203,291,226,8.55,46.9,24,0,0,M,3.531,0,48,128,112,1,na,1
Agricultural,Baldwin,102,17,Control,38.782048,-95.171401,17,2,A,1,9,190,30.43,8.63,22,203,291,228,9.13,78,21,0,0,M,7.128,0,1556,1563,2574,0,na,0
Agricultural,Greenup,196,18,Water,39.305104,-88.139778,4,2,G,1,,FALSE,,,,203,291,NA,NA,NA,NA,0,0,NA,,,48,128,118,1,na,
Agricultural,Mccombe,38,19,Control,41.06360497,-83.78943597,2,1,C,1,6,187,40.62,7.96,39,203,291,226,6.63,51.3,22,0,0,M,3.057,0,45,116,103,1,na,0
Natural,Pontoon,79,20,Control,38.699066,-90.068054,6,1,F,1,6,187,41.94,5.86,9,203,291,242,10.43,81,38,0,0,F,10.954,2,2292,2011,3700,0,na,1
Natural,Pontoon,113,21,Soy,38.699066,-90.068054,6,2,B,1,6,187,31.45,7.88,34,203,291,242,5.21,47,36,0,0,F,3.631,0,1957,1572,2712,0,0,0
Natural,Gascondale,147,22,Control,38.66783702,-91.55559699,9,2,D,1,10,191,31.02,9.02,12,203,291,233,9.49,78.2,25,1,0,M,7.283,1,1509,1295,2005,0,na,0
Natural,Lawrence,33,23,Control,38.927036,-95.241462,17,1,C,1,6,187,25.78,7.1,38,203,291,238,9.53,70.85,24,1,0,M,7.527,0,2116,1884,3074,0,na,0
Agricultural,Baldwin,174,24,Control,38.782048,-95.171401,17,2,F,1,6,187,43.01,10.34,28,203,291,233,7.78,75.1,22,0,0,F,15.242,1,712,591,953,0,na,0
Agricultural,Chesterfield,48,25,Water,38.66890403,-90.63545798,7,1,D,1,7,188,31.72,6.64,18,203,291,242,11.92,67,32,0,0,F,8.475,2,29,68,58,1,na,
Agricultural,Granite,46,26,Soy,38.670222,-90.065665,6,1,D,1,7,188,26.15,6.08,10,203,291,254,6.22,34,22,0,0,F,2.728,1,757,777,1180,0,0,0
Agricultural,Greenup,76,27,Control,39.305104,-88.139778,4,1,F,1,8,189,26.52,9.27,23,203,291,238,9.45,53.1,20,0,0,M,8.699,2,55,148,144,1,na,0
Natural,Keysport,43,28,Soy,38.732444,-89.277403,5,1,D,1,6,187,36.32,7.7,28,203,291,238,6.94,82,34,1,0,M,3.54,1,1396,1149,1926,0,0,1
Agricultural,Hernan,167,29,Water,38.63920603,-91.51230698,9,2,E,1,12,193,23.81,7.13,6,203,291,254,4.35,31,20,0,0,M,1.399,1,1353,1124,1897,0,na,0
Natural,Pekin,23,30,Control,40.57469501,-89.65567603,12,1,B,1,6,187,22.68,4.93,20,203,291,233,11.51,71.4,24,1,0,M,,,56,159,147,1,na,1
Natural,Kansas,31,31,Control,39.001464,-95.239938,16,1,C,1,5,186,,,,203,291,NA,NA,NA,NA,0,0,NA,9.981,,52,141,126,1,na,
Natural,Kansas,65,32,Soy,39.001464,-95.239938,16,1,E,1,7,188,37.31,7.8,19,203,291,NA,NA,NA,NA,0,0,NA,,,55,144,137,1,0,
Agricultural,Jackson,88,33,Soy,39.463458,-91.98047097,10,1,F,1,6,187,36.96,6.19,27,203,291,242,6.81,78.5,35,0,0,M,5.014,0,1064,465,791,0,0,0
Agricultural,Jackson,54,34,Soy,39.463458,-91.98047097,10,1,D,1,11,192,,,,203,291,NA,NA,NA,NA,0,0,NA,,,43,109,103,1,1,
Natural,Kakanee,181,35,Control,41.15132703,-87.89857297,14,2,W,1,9,190,18.45,8.09,14,203,291,238,12.06,75.1,28,0,0,F,7.008,1,1163,1254,2051,0,na,0
Natural,Gascondale,166,36,Soy,38.66783702,-91.55559699,9,2,E,1,6,187,37.98,8.19,39,203,291,226,8,56.1,23,0,0,M,,2,2408,1618,1928,0,0,1
Agricultural,Nunemaker,100,37,Control,38.988681,-95.215847,16,1,W,1,6,187,38.2,8.03,24,203,291,228,8.01,40,25,0,0,F,7.92,2,1695,1608,2665,0,na,1
Agricultural,Hernan,18,38,Control,38.63920603,-91.51230698,9,1,B,1,10,191,16.67,6.61,10,203,291,260,10.43,64,25,1,0,F,14.26,1,1214,906,1478,0,na,1
Natural,FoxRidge,195,39,Water,39.393248,-88.163216,4,2,G,1,10,191,39.6,8.97,20,203,291,224,8.32,52.9,17,0,0,M,7.303,1,1369,1105,1766,0,na,0
Agricultural,Hernan,52,40,Soy,38.63920603,-91.51230698,9,1,D,1,7,188,29.01,8.29,26,203,291,260,10.9,121.2,33,1,0,F,11.688,1,2008,1445,2662,0,1,0
Natural,Pekin,150,41,Soy,40.57469501,-89.65567603,12,2,D,1,6,187,34.82,8.45,31,203,291,260,11.96,116.5,48,1,0,F,14.13,1,1761,1507,2578,0,1,0
Agricultural,Chesterfield,82,42,Soy,38.66890403,-90.63545798,7,1,F,1,6,187,38.02,7.14,10,203,291,254,3.32,41,13,0,0,M,0.806,0,983,879,1417,0,0,0
Natural,MarkTwain,53,43,Water,39.46407096,-91.68243396,10,1,D,1,6,187,34.84,7.75,28,203,291,254,7.89,71,24,1,0,F,6.226,1,1166,1211,2011,0,na,0
Agricultural,Weston,36,44,Soy,41.37218297,-83.79889,1,1,C,1,9,190,27.74,5.45,5,203,291,254,4.02,54,13,1,0,NA,,,58,161,149,1,0,
Agricultural,Weston,176,45,Control,41.37218297,-83.79889,1,2,F,1,,FALSE,15.02,5,2,203,291,254,1.44,8,5,0,0,NA,,,57,146,135,1,na,
Natural,FoxRidge,75,46,Soy,39.393248,-88.163216,4,1,F,1,7,188,28.13,7.05,24,203,291,242,5.22,61,33,0,0,M,2.415,0,981,883,1410,0,0,0
Natural,WeldonSprings,117,47,Water,38.65643696,-90.73639403,8,2,A,1,6,187,26.43,10.03,32,203,291,238,5.01,50,20,0,0,F,1.82,1,2281,1732,3209,0,na,0
Natural,Pekin,23,48,Water,40.57469501,-89.65567603,12,1,C,1,6,187,28.42,8.29,22,203,291,238,10.52,96.8,26,1,0,M,4.14,,2291,1785,3029,0,na,0
Natural,Keysport,111,49,Water,38.732444,-89.277403,5,2,A,1,,FALSE,,,,203,291,NA,NA,NA,NA,0,0,NA,,,29,70,59,1,na,
Natural,Greentree ,81,50,Control,38.558781,-90.447501,7,1,W,1,12,193,28.77,11.15,14,203,291,254,8.48,84,30,1,0,M,8.124,0,49,137,119,1,na,1
Natural,Keysport,77,51,Control,38.732444,-89.277403,5,1,F,1,6,187,37.53,6.85,11,203,291,260,11.64,62.3,30,1,0,F,9.74,1,1787,1317,2247,0,na,0
Agricultural,Mccombe,106,52,Control,41.06360497,-83.78943597,2,2,A,1,8,189,17.74,6.93,20,203,291,224,10.64,54.1,20,0,0,M,4.05,1,61,162,152,1,na,1
Agricultural,Hickory,56,53,Control,40.17519498,-90.26269396,11,1,D,1,7,188,22.63,9.73,44,203,291,238,10.59,76.5,40,0,0,F,13.137,2,1253,808,1332,0,na,2
Natural,FoxRidge,109,54,Soy,39.393248,-88.163216,4,2,A,1,,FALSE,,,,203,291,NA,NA,NA,NA,0,0,NA,,,57,153,143,1,0,
Natural,FoxRidge,7,55,Control,39.393248,-88.163216,4,1,A,1,,FALSE,21.06,5.65,4,203,291,NA,NA,NA,NA,0,0,NA,,,60,167,153,1,na,
Natural,Keysport,191,56,Control,38.732444,-89.277403,5,2,G,1,7,188,31.16,9.73,48,203,291,242,9.82,94,39,0,0,F,7.55,1,52,139,130,1,na,3
Agricultural,AgLaughrey,74,57,Soy,39.01893298,-84.92674196,3,1,F,1,6,187,39.93,9.29,24,203,291,242,9.44,91,32,0,0,F,22.096,2,2271,1908,3497,0,0,1
Agricultural,Bradley,170,58,Control,41.16467102,-87.81988903,14,2,E,1,6,187,20.89,6.06,26,203,291,224,10.82,66.5,22,0,0,M,8.158,0,1774,1754,2757,0,na,0
Natural,Browning,55,59,Control,40.12487104,-90.36914203,11,1,D,1,9,190,19.29,8.85,27,203,291,226,9.54,64,28,0,0,M,3.94,,55,139,129,1,na,1
Natural,Keysport,43,60,Water,38.732444,-89.277403,5,1,D,1,6,187,48.37,6.76,32,203,291,238,9.62,104.3,33,1,0,M,8.888,2,1619,1406,2609,0,na,1
Agricultural,Hickory,122,61,Water,40.17519498,-90.26269396,11,2,C,1,7,188,21.41,12.13,24,203,291,238,8.01,40.9,28,0,0,F,7.499,2,1405,1103,1778,0,na,1
Agricultural,Mccombe,138,62,Control,41.06360497,-83.78943597,2,2,C,1,9,190,21.5,4.76,12,203,291,228,9.95,46,23,0,0,F,3.84,,1031,1031,1630,0,na,
Agricultural,Prairie,155,63,Water,41.35604002,-86.73699299,15,2,D,1,6,187,34.77,10.97,52,203,291,224,7.55,47.2,19,0,0,M,4.875,0,1054,873,1259,0,na,0
Natural,FoxRidge,199,64,Water,39.393248,-88.163216,4,2,G,1,6,187,32.32,10.68,40,203,291,238,9.76,73.2,29,0,0,M,7.822,2,677,550,907,0,na,1
Natural,Lawrence,101,65,Soy,38.927036,-95.241462,17,2,W,1,6,187,38.45,10.06,15,,291,238,7.58,86.1,37,1,0,F,11.01,,55,146,133,1,0,
Natural,Lawrence,173,66,Water,38.927036,-95.241462,17,2,E,1,7,188,25.12,7.43,20,,291,238,9.92,77.2,37,0,0,M,4.43,1,1469,1195,1893,0,na,1
Natural,FoxRidge,41,67,Control,39.393248,-88.163216,4,1,W,1,7,188,25.82,9.63,13,,291,228,10.15,66,23,0,0,M,6.726,1,57,149,140,1,na,0
Agricultural,Bradley,153,68,Soy,41.16467102,-87.81988903,14,2,D,1,6,187,25.49,6.54,7,,291,NA,NA,NA,NA,0,0,NA,,,58,153,142,1,na,
Agricultural,Weston,104,69,Water,41.37218297,-83.79889,1,2,A,1,7,188,,,,,291,NA,NA,NA,NA,0,0,NA,,,42,110,95,1,na,
Agricultural,Chesterfield,146,70,Water,38.66890403,-90.63545798,7,2,D,1,7,188,26.4,7.54,10,,291,NA,NA,NA,NA,0,0,F,0.465,1,1198,831,1255,0,na,0
Natural,Pontoon,45,71,Control,38.699066,-90.068054,6,1,D,1,7,188,32.33,7.89,8,,291,238,10.97,107.4,32,1,0,M,7.694,0,2206,1570,2931,0,na,0
Natural,Kakanee,127,72,Water,41.15132703,-87.89857297,14,2,C,1,10,191,14.43,9.74,9,,291,224,9.44,62.8,22,0,0,M,8.488,0,1297,1012,1923,0,na,1
Natural,FoxRidge,41,73,Soy,39.393248,-88.163216,4,1,W,1,6,187,30.51,8.35,52,203,291,260,8.23,56,20,1,1,M,,0,1532,1321,2044,0,1,0
Agricultural,Mulberry,10,74,Soy,38.755485,-89.272475,5,1,A,1,,FALSE,,,,203,291,NA,NA,NA,NA,0,0,NA,,,42,114,103,1,na,
Agricultural,Bradley,28,75,Soy,41.16467102,-87.81988903,14,1,B,1,,FALSE,19.13,3.83,5,203,291,NA,NA,NA,NA,0,0,NA,,,47,120,114,1,na,
Agricultural,Nunemaker,132,76,Water,38.988681,-95.215847,16,2,C,1,,FALSE,,,,203,291,NA,NA,NA,NA,0,0,NA,,,54,145,130,1,na,
Agricultural,Weston,136,77,Control,41.37218297,-83.79889,1,2,C,1,7,188,14.14,7.08,10,200,291,238,12.55,85.2,33,1,0,M,5.01,,43,115,103,1,na,1
Natural,Blanchard,37,78,Soy,41.03727398,-83.81345096,2,1,C,1,9,190,18.78,8.54,6,200,291,228,9.37,54,24,0,0,F,6.16,,56,147,139,1,0,1
Agricultural,Weston,161,79,Soy,41.37218297,-83.79889,1,2,W,1,10,191,19.26,8.88,6,200,291,224,10.28,56.6,21,0,0,M,,,53,147,135,1,1,
Natural,FoxRidge,177,80,Water,39.393248,-88.163216,4,2,E,1,6,187,32.83,8.65,6,200,291,233,13.32,101.4,33,1,0,F,20.88,1,1009,859,1388,0,na,1
Agricultural,Baldwin,186,81,Soy,38.782048,-95.171401,17,2,F,1,7,188,39.82,11.05,21,200,291,233,8.28,79.3,22,1,0,M,4.752,1,1751,1480,2419,0,1,1
Natural,Knox,63,82,Soy,41.31732501,-86.746256,15,1,E,1,9,190,7.51,7.73,19,200,291,249,4.18,51,24,0,0,F,0.431,0,1197,997,1670,0,1,0
Natural,Lawrence,101,83,Water,38.927036,-95.241462,17,2,W,1,6,187,18.48,3.28,6,200,291,NA,NA,NA,NA,0,0,NA,,,46,117,103,1,na,
Natural,Kansas,193,84,Water,39.001464,-95.239938,16,2,G,1,9,190,22.78,9.03,0,200,291,224,9.03,60.2,20,0,0,M,9.285,0,1314,1096,1717,0,na,0
Natural,Kakanee,152,85,Control,41.15132703,-87.89857297,14,2,D,1,6,187,29.48,8.62,14,203,291,233,8.13,34.4,19,0,0,F,5.754,1,1850,1584,2613,0,na,0
Natural,Knox,154,86,Soy,41.31732501,-86.746256,15,2,D,1,7,188,29.27,8.62,58,203,291,228,7.5,34,20,0,0,M,,1,548,913,1018,0,0,1
Natural,FoxRidge,109,87,Water,39.393248,-88.163216,4,2,A,1,6,187,32.82,5.97,36,203,291,238,8.92,63.2,28,0,0,F,14.795,0,31,76,62,1,na,0
Natural,Gascondale,17,88,Water,38.66783702,-91.55559699,9,1,A,1,5,186,35.46,11.58,27,203,291,226,7.17,59.8,24,0,0,M,5.391,2,2002,1703,2833,0,na,1
Natural,Gascondale,119,89,Soy,38.66783702,-91.55559699,9,2,B,1,6,187,32.87,8.11,56,200,291,260,6.7,56.2,17,0,0,M,3.6,0,1657,1379,2303,0,1,0
Agricultural,Prairie,64,90,Water,41.35604002,-86.73699299,15,1,E,1,6,187,29.44,9.2,13,200,291,224,5.31,54.1,16,0,0,M,1.84,0,1045,1061,1752,0,na,0
Natural,Pontiac,93,91,Control,40.87326997,-88.62446599,13,1,G,1,6,187,28.05,6.81,5,200,291,254,4.7,34,18,1,0,F,1.146,1,33,77,63,1,na,1
Natural,Greentree ,115,92,Soy,38.558781,-90.447501,7,2,B,1,7,188,33.04,6.53,6,200,291,242,7.03,101,31,0,0,F,9.735,2,1404,1155,1990,0,0,3
Natural,Gascondale,119,93,Water,38.66783702,-91.55559699,9,2,A,1,6,187,39.38,15.92,9,200,291,226,8.08,64.6,18,1,0,F,3.85,1,1479,1114,1903,0,na,0
Natural,Kansas,193,94,Control,39.001464,-95.239938,16,2,G,1,7,188,20.9,6.62,30,200,291,238,9.41,104.8,30,0,0,F,13.466,1,1028,899,1486,0,na,0
Natural,Pekin,150,95,Control,40.57469501,-89.65567603,12,2,D,1,7,188,31.23,7.96,18,200,291,238,9.96,73.8,22,1,0,M,5.389,2,29,73,61,1,na,1
Natural,Blanchard,3,96,Water,41.03727398,-83.81345096,2,1,A,1,10,191,5.63,10.25,15,200,291,242,7.81,76,23,0,0,F,8.893,2,1721,1554,2552,0,na,1
Agricultural,Nunemaker,194,97,Soy,38.988681,-95.215847,16,2,G,1,10,191,13.9,6.94,4,203,291,249,8.04,45.2,26,0,0,F,8.137,1,1305,1298,2064,0,1,0
Agricultural,Hernan,86,98,Control,38.63920603,-91.51230698,9,1,F,1,7,188,17.71,6.31,2,203,291,238,11.78,53.4,19,0,1,F,,1,711,776,1178,0,na,0
Natural,Maume,103,99,Water,41.55656599,-83.66247503,1,2,A,1,6,187,41.71,9.9,8,203,291,233,8.56,60.1,22,0,0,NA,,2,780,846,1389,0,na,1
Agricultural,HWY66,60,100,Control,40.82949003,-88.66930699,13,1,W,1,,FALSE,,,62,203,291,NA,NA,NA,NA,0,0,NA,,,28,68,57,1,na,
Agricultural,Greenup,178,101,Control,39.305104,-88.139778,4,2,F,1,6,187,37.65,8.15,33,200,291,226,6.61,56,29,0,0,M,6.993,0,999,1223,2095,0,na,0
Agricultural,WSCSoy2,118,102,Water,38.6589929,-90.7440433,8,2,A,1,6,187,30.11,,7,200,291,249,7.94,93,31,1,0,M,6.23,2,903,1085,1575,0,na,0
Agricultural,Nunemaker,132,103,Control,38.988681,-95.215847,16,2,C,1,6,187,19.67,6.63,27,200,291,249,9.27,102,35,1,0,M,,2,1941,1475,2601,0,na,0
Natural,Keysport,77,104,Water,38.732444,-89.277403,5,1,E,1,8,189,27.61,8.31,7,200,291,219,5.79,45.57,16,0,0,M,2.134,0,945,1073,1341,0,na,0
Agricultural,Weston,36,105,Water,41.37218297,-83.79889,1,1,C,1,6,187,21.19,4.27,6,200,291,226,9.64,64.1,24,0,0,M,5.366,1,27,66,56,1,na,2
Agricultural,AgLaughrey,6,106,Control,39.01893298,-84.92674196,3,1,A,1,6,187,30.67,9.93,13,200,291,238,10.26,110.12,44,1,0,M,7.736,1,25,69,60,1,na,1
Agricultural,Greenup,110,107,Control,39.305104,-88.139778,4,2,A,1,6,187,34.88,9.38,18,200,291,224,7.31,62.4,19,0,0,F,5.09,1,1065,892,1461,0,na,1
Natural,Blanchard,37,108,Water,41.03727398,-83.81345096,2,1,C,1,9,190,9.14,6.04,6,200,291,NA,NA,NA,NA,0,0,NA,,,27,67,58,1,na,
Natural,Pekin,123,109,Soy,40.57469501,-89.65567603,12,2,B,1,6,187,25.59,9.02,54,203,291,254,8.77,28,18,1,0,F,,,25,70,58,1,1,
Agricultural,Mulberry,112,110,Control,38.755485,-89.272475,5,2,B,1,,FALSE,,,,203,291,NA,NA,NA,NA,0,0,NA,,,44,121,112,1,na,
Agricultural,HWY66,60,111,Water,40.82949003,-88.66930699,13,1,W,1,6,187,34.7,10.52,54,203,291,233,9.68,62.2,32,0,0,M,5.829,0,66,172,163,1,na,0
Agricultural,Nunemaker,100,112,Water,38.988681,-95.215847,16,1,W,1,6,187,33.6,8.55,36,203,291,238,8.62,72.9,31,0,0,M,6.618,1,1602,1297,2120,0,na,0
Agricultural,Hickory,22,113,Water,40.17519498,-90.26269396,11,1,C,1,6,187,18.41,10.23,14,200,291,228,6.91,59,21,0,0,M,4.96,1,1085,736,983,0,na,0
Agricultural,Mulberry,44,114,Soy,38.755485,-89.272475,5,1,D,1,7,188,30.61,7.81,13,200,291,249,6.6,82,33,0,0,F,9.08,2,935,935,1493,0,0,1
Natural,Pontoon,79,115,Water,38.699066,-90.068054,6,1,E,1,6,187,33.57,8.35,7,200,291,228,6.51,59.5,17,0,0,M,1.25,1,1304,871,1343,0,na,0
Natural,Greentree ,47,116,Water,38.558781,-90.447501,7,1,D,1,9,190,20.78,8.33,9,200,291,226,10.61,78.6,27,0,0,M,9.208,2,977,924,1533,0,na,2
Natural,Greentree ,47,117,Control,38.558781,-90.447501,7,1,D,1,9,190,24.89,8.63,6,200,291,233,9.08,76.1,19,1,0,F,7.607,1,1696,1446,2554,0,na,0
Natural,Pekin,57,118,Control,40.57469501,-89.65567603,12,1,D,1,6,187,28.18,7.08,19,200,291,224,11.72,63.6,22,0,0,F,11.798,2,1598,1116,2150,0,na,1
Natural,Kakanee,169,119,Control,41.15132703,-87.89857297,14,2,E,1,8,189,9.4,7.2,19,200,291,238,6.27,46.7,32,0,0,NA,,,47,132,119,1,na,
Agricultural,Mulberry,192,120,Control,38.755485,-89.272475,5,2,G,1,6,187,23.24,2.22,5,200,291,NA,NA,NA,NA,0,0,F,,1,27,68,58,1,na,1
Natural,Blanchard,3,121,Soy,41.03727398,-83.81345096,2,1,A,1,6,187,12.46,4.84,8,203,291,233,6.47,48.3,NA,1,0,F,,,28,71,56,1,0,0
Agricultural,Jackson,54,122,Water,39.463458,-91.98047097,10,1,D,1,11,192,25.2,9.67,10,203,291,233,10.81,61.1,21,0,0,F,8.57,,58,149,140,1,na,
Agricultural,Weston,188,123,Control,41.37218297,-83.79889,1,2,F,1,6,187,18.11,7.6,34,203,291,228,11.57,53,32,0,0,F,10.23,3,718,992,1009,0,na,1
Natural,Lawrence,133,124,Water,38.927036,-95.241462,17,2,C,1,9,190,,,,203,291,NA,NA,NA,NA,0,0,NA,,,68,185,174,1,na,
Natural,Keysport,191,125,Water,38.732444,-89.277403,5,2,G,1,8,189,26.68,6.32,22,203,291,249,10.78,113.4,36,1,0,F,10.37,2,966,952,1470,0,na,3
Natural,Blanchard,105,126,Water,41.03727398,-83.81345096,2,2,A,1,7,188,29.76,7.05,34,203,291,226,8.4,62.1,20,1,1,M,3.11,1,1415,1119,1803,0,na,1
Agricultural,WSCSoy2,16,127,Soy,38.6589929,-90.7440433,8,1,B,1,,FALSE,15.5,7.54,2,203,291,NA,NA,NA,NA,0,0,M,,,66,186,177,1,0,
Agricultural,Hickory,56,128,Soy,40.17519498,-90.26269396,11,1,D,1,6,187,43.01,9.44,44,203,291,233,5.74,70.1,27,0,0,M,7.21,2,604,553,894,0,0,0
Natural,Keysport,9,129,Water,38.732444,-89.277403,5,1,A,1,11,192,28.23,7.92,4,200,291,NA,NA,NA,NA,0,0,NA,0.105,0,66,183,168,1,na,0
Agricultural,Hickory,22,130,Soy,40.17519498,-90.26269396,11,1,B,1,,FALSE,,,,200,291,NA,NA,NA,NA,0,0,NA,,,70,197,183,1,1,
Natural,Kakanee,95,131,Water,41.15132703,-87.89857297,14,1,G,1,7,188,13.12,8.69,14,200,291,228,9.68,70,30,0,0,F,12.851,0,1692,1647,2840,0,na,0
Natural,Pekin,168,132,Soy,40.57469501,-89.65567603,12,2,E,1,5,186,38.81,10.4,41,200,291,224,9.12,56,24,0,0,M,8.488,1,31,74,64,1,1,1
Natural,Knox,154,133,Water,41.31732501,-86.746256,15,2,D,1,12,193,15.15,8.58,21,203,291,224,10.01,40.1,17,0,0,M,,,35,87,69,1,na,
Natural,Browning,89,134,Water,40.12487104,-90.36914203,11,1,G,1,7,188,20.19,4.84,7,203,291,254,7.78,61,27,1,0,F,5.74,1,59,157,148,1,na,0
Agricultural,Hernan,120,135,Soy,38.63920603,-91.51230698,9,2,W,1,7,188,28.81,8.86,24,203,291,254,5.91,61,23,1,0,M,2.37,1,920,894,1470,0,0,0
Agricultural,Granite,46,136,Control,38.670222,-90.065665,6,1,D,1,6,187,29.28,6.79,39,203,291,242,11.17,72,38,0,0,M,10.04,1,2239,1763,3034,0,na,1
Agricultural,Mulberry,142,137,Control,38.755485,-89.272475,5,2,D,1,7,188,43.77,11.81,45,203,291,228,10.47,83,29,0,0,M,13.366,2,69,179,169,1,na,0
Natural,Lawrence,133,138,Control,38.927036,-95.241462,17,2,C,1,10,191,34.48,9.72,15,203,291,233,9.61,96.7,21,1,0,M,6.362,1,70,190,174,1,na,0
Natural,Pekin,123,139,Control,40.57469501,-89.65567603,12,2,B,1,6,187,40.93,9.24,58,203,291,217,9.84,45.2,23,0,0,M,,1,63,173,160,1,na,1
Agricultural,Greenup,140,140,Water,39.305104,-88.139778,4,2,W,1,6,187,32.12,11.07,60,203,291,233,10.92,89.2,24,0,0,F,21.01,,63,172,162,1,na,0
Agricultural,Hernan,18,141,Soy,38.63920603,-91.51230698,9,1,B,1,6,187,31,8.38,11,200,291,NA,NA,NA,NA,0,0,NA,,,70,185,173,1,1,
Natural,Kansas,156,142,Soy,39.001464,-95.239938,16,2,D,1,6,187,36.45,11.66,17,200,291,249,9.01,59,21,0,1,NA,,,75,198,186,1,1,0
Natural,Maume,175,143,Soy,41.55656599,-83.66247503,1,2,F,1,6,187,43.3,8.79,25,200,291,224,10.62,68.7,23,0,0,F,6.216,0,1763,1773,3185,0,0,2
Agricultural,Bradley,128,144,Water,41.16467102,-87.81988903,14,2,C,1,10,191,28.11,9.42,6,200,291,228,10.09,80,28,0,0,M,9.755,1,1090,985,1651,0,na,0
Agricultural,Mulberry,198,145,Control,38.755485,-89.272475,5,2,G,1,7,188,29,9.31,49,203,291,233,8.04,63.3,24,1,0,F,10.81,1,1050,1113,1835,0,na,0
Natural,Kakanee,152,146,Soy,41.15132703,-87.89857297,14,2,D,1,7,188,23.76,6.26,3,203,291,NA,NA,NA,NA,0,0,NA,,,65,169,153,1,0,
Agricultural,Nunemaker,172,147,Soy,38.988681,-95.215847,16,2,F,1,10,191,35.89,9.44,7,203,291,242,10.86,65,31,0,0,F,,1,375,451,703,0,1,0
Agricultural,Granite,114,148,Control,38.670222,-90.065665,6,2,B,1,6,187,33.47,6.65,20,203,291,NA,NA,NA,NA,0,1,NA,,,60,160,150,1,na,
Natural,Maume,1,149,Control,41.55656599,-83.66247503,1,1,W,1,10,191,15.1,8.97,9,203,291,238,9.08,66.2,21,0,0,F,4.02,0,1214,905,1607,0,na,1
Natural,Keysport,191,150,Soy,38.732444,-89.277403,5,2,G,1,7,188,43.4,8.85,24,203,291,254,8.93,83,17,0,0,NA,,0,1618,1269,2239,0,0,0
Natural,FoxRidge,109,151,Control,39.393248,-88.163216,4,2,A,1,,FALSE,,,,203,291,NA,NA,NA,NA,0,0,NA,,,71,188,180,1,na,
Agricultural,HWY66,26,152,Soy,40.82949003,-88.66930699,13,1,B,1,,FALSE,,,,203,291,NA,NA,NA,NA,0,0,NA,,,67,179,169,1,na,
