Env,Pop,Family,Position,Treatment,Lat,Long,Pair,GH,GH_Block,Roof_Block,Germ,Germ_JD,Hypocotyl(mm),Cotyledon(mm),LeafNum,Date_of_1Meas,Harvest Julian Day,Flowering Time,StemWidth,PlantHeight,NodeNum,Late,Broken,Sex,Dry Biomass,Flower Color,485,530,590,IsBlank,Soy Germ,Stem Colour
Natural,Pekin,91,1994,Control,40.57469501,-89.65567603,12,1,W,4,7,188,39.2,6.61,6,200,277,235,10.99,62,NA,0,1,F,5.58,0,1999,1699,3224,0,na,0
Natural,Keysport,191,1995,Control,38.732444,-89.277403,5,2,G,4,9,190,24.95,9.49,6,200,277,249,8.41,108.6,35,0,0,F,16.4,1,1786,1241,2441,0,na,1
Natural,WeldonSprings,15,1996,Water,38.65643696,-90.73639403,8,1,A,4,6,187,27.96,10.91,17,200,277,224,9.3,64.5,28,0,0,M,6.81,1,1237,1044,1754,0,na,1
Natural,Maume,187,1997,Soy,41.55656599,-83.66247503,1,2,F,4,6,187,36.13,11.13,10,200,277,235,8.59,74,23,0,0,M,7.92,1,850,663,1571,0,0,0
Agricultural,WSCSoy2,118,1998,Soy,38.6589929,-90.7440433,8,2,B,4,9,190,35.58,12.31,7,200,277,254,4.29,41,25,0,0,NA,,,26,67,57,1,0,
Natural,Pekin,123,1999,Control,40.57469501,-89.65567603,12,2,B,4,6,187,25.02,9.26,21,200,277,219,8.94,55.2,16,0,0,M,8.37,1,915,774,1152,0,na,1
Agricultural,Weston,70,2000,Control,41.37218297,-83.79889,1,1,E,4,6,187,9.97,7.77,7,200,277,NA,NA,NA,NA,0,0,NA,,,25,69,54,1,na,0
Agricultural,Nunemaker,172,2001,Soy,38.988681,-95.215847,16,2,F,4,,FALSE,,,,199,277,NA,NA,NA,NA,0,0,NA,,,28,68,57,1,na,
Agricultural,Hernan,148,2002,Water,38.63920603,-91.51230698,9,2,D,4,5,186,47.24,12.44,26,199,277,235,9.81,84,28,0,0,F,32.85,2,942,847,1416,0,na,1
Agricultural,Bradley,28,2003,Soy,41.16467102,-87.81988903,14,1,B,4,10,191,26.15,10.36,4,199,277,229,8.51,84.1,22,0,0,F,17.04,1,452,866,1670,0,1,0
Natural,Maume,69,2004,Water,41.55656599,-83.66247503,1,1,E,4,6,187,13.11,11.58,17,199,277,229,10.57,61.7,21,0,0,F,11.98,2,900,1139,1216,0,na,3
Natural,Browning,149,2005,Control,40.12487104,-90.36914203,11,2,D,4,6,187,23.07,9.28,25,200,277,235,6.79,68,23,1,0,M,3.89,0,966,869,1462,0,na,0
Natural,Knox,63,2006,Water,41.31732501,-86.746256,15,1,E,4,11,192,9.84,7.63,4,200,277,NA,NA,NA,NA,0,0,NA,0.03,,1202,865,1604,0,na,0
Agricultural,Prairie,30,2007,Soy,41.35604002,-86.73699299,15,1,B,4,6,187,24.58,9.31,15,200,277,239,7.53,80.5,35,0,0,F,3.45,,61,162,149,1,1,
Natural,FoxRidge,189,2008,Water,39.393248,-88.163216,4,2,G,4,9,190,28.59,10.4,12,200,277,226,9.91,63.6,28,0,0,F,14.45,1,1747,1269,2334,0,na,1
Natural,Kansas,99,2009,Water,39.001464,-95.239938,16,1,G,4,6,187,21.95,9.27,9,200,277,226,9.43,72.3,23,0,0,F,14.03,1,829,684,1355,0,na,0
Agricultural,Mulberry,10,2010,Control,38.755485,-89.272475,5,1,A,4,6,187,24,8.81,14,200,277,233,8.97,72.5,25,0,0,M,7.96,2,1570,984,1875,0,na,2
Agricultural,Nunemaker,194,2011,Water,38.988681,-95.215847,16,2,G,4,7,188,20.45,8.19,18,200,277,254,4.62,21,16,0,0,F,0.35,0,842,695,1170,0,na,0
Agricultural,Baldwin,68,2012,Water,38.782048,-95.171401,17,1,E,4,10,191,26.67,9.46,NA,200,277,NA,NA,NA,NA,0,0,NA,,,60,162,149,1,na,
Agricultural,Hernan,167,2013,Control,38.63920603,-91.51230698,9,2,E,4,7,188,25.85,8.5,7,199,277,226,9.16,69.5,23,0,0,M,10.193,0,1249,1155,1930,0,na,0
Agricultural,Baldwin,102,2014,Control,38.782048,-95.171401,17,2,A,4,10,191,23.4,7.82,5,199,277,259,9.2,79,19,0,0,F,,0,836,784,1346,0,na,
Agricultural,Greenup,200,2015,Water,39.305104,-88.139778,4,2,W,4,7,188,,,,199,277,NA,NA,NA,NA,0,0,NA,,,50,131,122,1,na,
Natural,WeldonSprings,83,2016,Water,38.65643696,-90.73639403,8,1,G,4,9,190,24.36,11.34,5,199,277,226,9.56,56.4,20,0,0,M,7.181,0,3440,2608,4803,0,na,0
