"Ind"	"Lat"	"Long"	"Pop"	"Env"	"K1"	"K2"	"Pair"
"16_2"	42.5575	-82.5075	"Walpole"	"Ag"	0.0622107	0.9377893	NA
"16_3"	42.5575	-82.5075	"Walpole"	"Ag"	0.0578107	0.9421893	NA
"16_7"	42.5575	-82.5075	"Walpole"	"Ag"	0.0205928	0.9794072	NA
"16_8"	42.5575	-82.5075	"Walpole"	"Ag"	1	0	NA
"17_1"	42.56028	-82.51444	"Walpole"	"Ag"	0.071869	0.928131	NA
"17_3"	42.56028	-82.51444	"Walpole"	"Ag"	0	1	NA
"17_4"	42.56028	-82.51444	"Walpole"	"Ag"	0.1359391	0.8640609	NA
"17_6"	42.56028	-82.51444	"Walpole"	"Ag"	0.0684091	0.9315909	NA
"17_7"	42.56028	-82.51444	"Walpole"	"Ag"	0.1014017	0.8985983	NA
"17_9"	42.56028	-82.51444	"Walpole"	"Ag"	0.1019504	0.8980496	NA
"17_10"	42.56028	-82.51444	"Walpole"	"Ag"	0.2193896	0.7806104	NA
"17_11"	42.56028	-82.51444	"Walpole"	"Ag"	0.0003625	0.9996375	NA
"18_1"	42.57389	-82.48917	"Walpole"	"Ag"	0.282404	0.717596	NA
"18_2"	42.57389	-82.48917	"Walpole"	"Ag"	0.2264633	0.7735367	NA
"18_3"	42.57389	-82.48917	"Walpole"	"Ag"	0.1840704	0.8159296	NA
"18_11"	42.57389	-82.48917	"Walpole"	"Ag"	0.2133848	0.7866152	NA
"18_15"	42.57389	-82.48917	"Walpole"	"Ag"	0.1561098	0.8438902	NA
"18_16"	42.57389	-82.48917	"Walpole"	"Ag"	0.3122156	0.6877844	NA
"19_1_1"	42.57222	-82.47972	"Walpole"	"Ag"	0.304867	0.695133	NA
"19_1_3"	42.57222	-82.47972	"Walpole"	"Ag"	0.2488685	0.7511315	NA
"19_3"	42.57222	-82.47972	"Walpole"	"Ag"	0.0926052	0.9073948	NA
"19_4"	42.57222	-82.47972	"Walpole"	"Ag"	0.2360506	0.7639494	NA
"19_5"	42.57222	-82.47972	"Walpole"	"Ag"	0.3992103	0.6007897	NA
"27_2"	42.56944	-82.48861	"Walpole"	"Ag"	0.2133252	0.7866748	NA
